#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: alpha in the simple power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the simple power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the simple power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Simple power-law (PL) equation: f = norm*(E/enorm)^{alpha}
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180514A   |    832368    | -1.753590e+00 | -2.146280e+00 | -1.390660e+00 | 5.425220e-03 | 4.070280e-03 | 6.719830e-03 | 49.44 | 57 | 0.8673 | 7.514427e-01 | 50.0000 | 1 | 0.292000 | 1.292000 |  
GRB180512A   |    832119    | -2.802340e+00 | -4.132730e+00 | -1.978880e+00 | 2.687820e-03 | 0.000000e+00 | 4.701290e-03 | 77.84 | 57 | 1.366 | 3.475302e-02 | 50.0000 | 1 | 54.000000 | 55.000000 |  
GRB180510B   |    831816    | -1.663180e+00 | -2.023560e+00 | -1.317950e+00 | 9.284940e-03 | 7.222240e-03 | 1.129700e-02 | 72.68 | 57 | 1.275 | 7.874071e-02 | 50.0000 | 1 | 0.964000 | 1.964000 |  
GRB180510A   |    831810    | -1.215830e+00 | -1.398890e+00 | -1.029950e+00 | 2.878790e-02 | 2.577820e-02 | 3.178720e-02 | 51.23 | 57 | 0.8987 | 6.904280e-01 | 50.0000 | 1 | 8.268000 | 9.268000 |  
GRB180504A   |    830822    | -1.508320e+00 | -1.951220e+00 | -1.073260e+00 | 6.667210e-03 | 5.014180e-03 | 8.260490e-03 | 57.79 | 57 | 1.014 | 4.460446e-01 | 50.0000 | 1 | 16.804000 | 17.804000 |  
GRB180425A   |    828672    | -8.622510e-01 | -1.136110e+00 | -5.672140e-01 | 1.717970e-02 | 1.421020e-02 | 2.008440e-02 | 70.55 | 57 | 1.238 | 1.071426e-01 | 50.0000 | 1 | 1.188000 | 2.188000 |  
GRB180418A   |    826428    | -1.408100e+00 | -1.515430e+00 | -1.301260e+00 | 2.478800e-02 | 2.325390e-02 | 2.631780e-02 | 60.84 | 57 | 1.067 | 3.395533e-01 | 50.0000 | 1 | 0.236000 | 1.236000 |  
GRB180411A   |    824451    | -1.116300e+00 | -1.183980e+00 | -1.048370e+00 | 5.102050e-02 | 4.909700e-02 | 5.294370e-02 | 58.98 | 57 | 1.035 | 4.028281e-01 | 50.0000 | 1 | 51.740000 | 52.740000 |  
GRB180410A   |    824063    | -7.952910e-01 | -1.217400e+00 | -3.074920e-01 | 6.293250e-03 | 4.477290e-03 | 8.037870e-03 | 69.71 | 57 | 1.223 | 1.204065e-01 | 50.0000 | 1 | 25.704000 | 26.704000 |  
GRB180407A   |    823001    | -1.728670e+00 | -2.139690e+00 | -1.342470e+00 | 6.423820e-03 | 4.722670e-03 | 8.071150e-03 | 55.89 | 57 | 0.9805 | 5.168358e-01 | 50.0000 | 1 | 2.172000 | 3.172000 |  
