#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB151021A   |    660671    | -1.416890e+00 | -1.575900e+00 | -1.151530e+00 | 9.999340e+03 | 0.000000e+00 | 0.000000e+00 | 7.988990e-02 | 0.000000e+00 | 1.083030e-01 | 47.85 | 56 | 0.8545 | 7.724016e-01 | 50.0000 | 1 | -0.132000 | 0.868000 |  
GRB151006A   |    657750    | -8.275130e-01 | -1.296460e+00 | -3.004280e-01 | 1.017630e+02 | 7.286540e+01 | 3.434220e+02 | 4.302380e-02 | 2.481400e-02 | 8.013160e-02 | 67.47 | 56 | 1.205 | 1.400961e-01 | 50.0000 | 1 | 1.700000 | 2.700000 |  
GRB151004A   |    657564    | -1.849080e+00 | N/A | N/A | 2.136920e+01 | N/A | N/A | 3.765090e-03 | N/A | N/A | 77.93 | 56 | 1.392 | 2.794911e-02 | 50.0000 | 1 | 50.860000 | 51.860000 |  
GRB151001B   |    657321    | -9.667500e-01 | -1.768390e+00 | 6.498870e-01 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 4.759240e-03 | 0.000000e+00 | 2.496980e-02 | 54.30 | 56 | 0.9697 | 5.394280e-01 | 50.0000 | 1 | 47.468000 | 48.468000 |  
GRB151001A   |    657286    | -6.025220e-01 | -1.307500e+00 | 3.723810e-01 | 1.266670e+02 | 7.749940e+01 | 0.000000e+00 | 2.130230e-02 | 1.167770e-02 | 5.934040e-02 | 52.53 | 56 | 0.9380 | 6.070013e-01 | 50.0000 | 1 | -0.044000 | 0.956000 |  
GRB150925A   |    656604    | -1.207150e+00 | -2.529810e+00 | 3.335090e+00 | 1.451140e+02 | 0.000000e+00 | 0.000000e+00 | 6.898460e-03 | N/A | N/A | 53.44 | 56 | 0.9543 | 5.724276e-01 | 50.0000 | 1 | 30.684000 | 31.684000 |  
GRB150915A   |    655721    | 1.116080e-01 | N/A | N/A | 4.329940e+01 | N/A | N/A | 1.972790e-02 | N/A | N/A | 55.51 | 56 | 0.9912 | 4.933767e-01 | 50.0000 | 1 | 40.500000 | 41.500000 |  
GRB150911A   |    655262    | -1.058400e+00 | -1.453640e+00 | -6.221910e-01 | 6.722470e+01 | 5.616900e+01 | 9.757030e+01 | 8.637580e-02 | 5.410020e-02 | 1.452160e-01 | 46.28 | 56 | 0.8264 | 8.195576e-01 | 50.0000 | 1 | 3.896000 | 4.896000 |  
GRB150910A   |    655097    | -1.547280e+00 | -2.971790e+00 | -9.006650e-01 | 9.999330e+03 | N/A | N/A | 8.385300e-03 | N/A | N/A | 54.87 | 56 | 0.9798 | 5.176276e-01 | 50.0000 | 1 | 82.892000 | 83.892000 |  
GRB150907B   |    654803    | -4.910300e-01 | -0.000000e+00 | 1.511100e+00 | 2.177010e+02 | 0.000000e+00 | 0.000000e+00 | 1.289310e-02 | 6.836110e-03 | 8.310550e-02 | 56.59 | 56 | 1.010 | 4.529759e-01 | 50.0000 | 1 | 0.592000 | 1.592000 |  
GRB150901A   |    654042    | -4.350110e-01 | -0.000000e+00 | -0.000000e+00 | 2.219750e+02 | N/A | N/A | 6.605440e-04 | N/A | N/A | 62.93 | 56 | 1.124 | 2.444032e-01 | 50.0000 | 1 | 9.748000 | 10.748000 |  
GRB150831B   |    653978    | -5.628860e-01 | -1.645720e+00 | 7.884980e-01 | 5.872410e+01 | 5.048900e+01 | 8.952380e+01 | 1.822000e-01 | 0.000000e+00 | 7.621700e-01 | 73.86 | 56 | 1.319 | 5.516034e-02 | 50.0000 | 1 | -0.148000 | 0.852000 |  
GRB150831A   |    653838    | -6.232800e-01 | -8.637770e-01 | -4.334760e-01 | 9.714920e+02 | 0.000000e+00 | 0.000000e+00 | 3.152320e-02 | 2.665930e-02 | 3.151710e-02 | 51.17 | 56 | 0.9137 | 6.579492e-01 | 50.0000 | 1 | 0.000000 | 1.000000 |  
GRB150821A   |    652847    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB150819A   |    652643    | -2.556530e+00 | -2.827540e+00 | 1.193090e+00 | 2.056480e+02 | N/A | N/A | 1.321210e-03 | N/A | N/A | 57.65 | 56 | 1.029 | 4.140504e-01 | 50.0000 | 1 | 17.676000 | 18.676000 |  
GRB150818A   |    652603    | -1.921710e+00 | -2.219690e+00 | -8.761370e-01 | 6.227640e+01 | N/A | N/A | 1.703560e-02 | N/A | N/A | 60.19 | 56 | 1.075 | 3.268249e-01 | 50.0000 | 1 | 1.568000 | 2.568000 |  
GRB150817A   |    652334    | -8.487000e-01 | -9.654550e-01 | -6.075800e-01 | 7.589100e+02 | 0.000000e+00 | 0.000000e+00 | 9.146660e-02 | 7.835770e-02 | 1.150130e-01 | 42.84 | 56 | 0.7650 | 9.019059e-01 | 50.0000 | 1 | 11.216000 | 12.216000 |  
GRB150811A   |    651882    | -1.079780e+00 | -2.115420e+00 | 3.170680e+00 | 2.627700e+01 | N/A | N/A | 2.115280e-02 | N/A | N/A | 69.43 | 56 | 1.240 | 1.072430e-01 | 50.0000 | 1 | 5.008000 | 6.008000 |  
GRB150801B   |    650977    | -1.331280e+00 | -1.905090e+00 | -6.044280e-01 | 6.188580e+01 | 4.467250e+01 | 0.000000e+00 | 3.407980e-02 | 1.748010e-02 | 8.544700e-02 | 61.49 | 56 | 1.098 | 2.860653e-01 | 50.0000 | 1 | 9.324000 | 10.324000 |  
GRB150728A   |    650617    | -1.969250e+00 | -2.483990e+00 | -1.509880e+00 | 9.999360e+03 | N/A | N/A | 3.669430e-03 | N/A | N/A | 58.14 | 56 | 1.038 | 3.966075e-01 | 50.0000 | 1 | 0.220000 | 1.220000 |  
GRB150727A   |    650530    | -9.886590e-01 | -1.287840e+00 | -5.837220e-01 | 9.999330e+03 | 0.000000e+00 | 0.000000e+00 | 9.058230e-03 | 7.545720e-03 | 2.534940e-02 | 54.72 | 56 | 0.9772 | 5.232697e-01 | 50.0000 | 1 | 9.212000 | 10.212000 |  
GRB150724A   |    650141    | -1.019650e+00 | -1.971080e+00 | 8.862870e-01 | 7.578600e+01 | N/A | N/A | 1.553320e-02 | N/A | N/A | 53.06 | 56 | 0.9474 | 5.870442e-01 | 50.0000 | 1 | 24.084000 | 25.084000 |  
GRB150722A   |    649916    | -1.581540e+00 | -2.024470e+00 | 3.199240e+00 | 1.311710e+02 | N/A | N/A | 3.784660e-03 | N/A | N/A | 37.38 | 56 | 0.6675 | 9.737419e-01 | 50.0000 | 1 | 15.100000 | 16.100000 |  
GRB150720A   |    649706    | -1.893480e+00 | N/A | N/A | 1.780970e+00 | N/A | N/A | 4.223570e-02 | N/A | N/A | 59.54 | 56 | 1.063 | 3.482397e-01 | 50.0000 | 1 | -182.276000 | -181.276000 |  
GRB150716A   |    649157    | -1.334260e+00 | -2.144300e+00 | 2.862280e-01 | 6.355600e+01 | 1.413730e+01 | 0.000000e+00 | 1.084450e-02 | 0.000000e+00 | 9.010670e-02 | 47.35 | 56 | 0.8456 | 7.880564e-01 | 50.0000 | 1 | 9.692000 | 10.692000 |  
GRB150711A   |    648601    | -1.540570e+00 | -1.708590e+00 | -1.364480e+00 | 9.999350e+03 | 0.000000e+00 | 0.000000e+00 | 2.991260e-02 | 0.000000e+00 | 4.532360e-02 | 45.65 | 56 | 0.8151 | 8.369547e-01 | 50.0000 | 1 | 1.980000 | 2.980000 |  
GRB150710B   |  00084694006 | -6.992860e-01 | -9.134010e-01 | -4.746700e-01 | 1.768430e+02 | 1.349360e+02 | 2.940150e+02 | 1.125360e-01 | 9.086120e-02 | 1.407400e-01 | 34.45 | 56 | 0.6152 | 9.896347e-01 | 50.0000 | 1 | N/A | N/A |  
GRB150710A   |    648437    | -6.572660e-01 | -9.426290e-01 | -3.387110e-01 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 6.426440e-03 | 5.287240e-03 | 2.363350e-02 | 41.77 | 56 | 0.7459 | 9.214114e-01 | 50.0000 | 1 | -0.378000 | 0.622000 |  
GRB150626B   |    646786    | 3.797260e+00 | N/A | N/A | 3.688630e+01 | N/A | N/A | 1.111450e+01 | N/A | N/A | 56.11 | 56 | 1.002 | 4.708883e-01 | 50.0000 | 1 | 7.940000 | 8.940000 |  
GRB150626A   |    646603    | -4.549170e-01 | -1.659510e+00 | 1.229320e+00 | 5.636440e+01 | 4.337810e+01 | 1.648340e+02 | 6.059030e-02 | 0.000000e+00 | 4.885010e-01 | 65.82 | 56 | 1.175 | 1.734325e-01 | 50.0000 | 1 | 0.356000 | 1.356000 |  
GRB150616A   |    644259    | -1.353840e+00 | -1.798360e+00 | -4.404560e-01 | 1.469580e+02 | 0.000000e+00 | 0.000000e+00 | 2.844290e-02 | N/A | N/A | 59.90 | 56 | 1.070 | 3.361131e-01 | 50.0000 | 1 | 93.584000 | 94.584000 |  
GRB150615A   |    643833    | -1.915300e+00 | -3.878890e+00 | -1.439550e+00 | 9.999270e+03 | N/A | N/A | 4.109640e-03 | N/A | N/A | 59.36 | 56 | 1.060 | 3.542392e-01 | 50.0000 | 1 | 5.800000 | 6.800000 |  
GRB150607A   |    642620    | -6.055890e-01 | -1.163260e+00 | 4.372630e-02 | 8.518830e+01 | 6.643390e+01 | 1.511470e+02 | 1.051800e-01 | 5.609360e-02 | 2.193150e-01 | 60.40 | 56 | 1.078 | 3.200449e-01 | 50.0000 | 1 | 7.288000 | 8.288000 |  
GRB150530A   |    642018    | -1.229370e+00 | -1.464800e+00 | -9.944360e-01 | 9.998890e+03 | 0.000000e+00 | 0.000000e+00 | 3.460240e-02 | 0.000000e+00 | 6.453960e-02 | 43.50 | 56 | 0.7768 | 8.883861e-01 | 50.0000 | 1 | 0.468000 | 1.468000 |  
GRB150527A   |    641698    | -3.888710e-01 | -9.397000e-01 | 2.537020e-01 | 7.047170e+01 | 5.888090e+01 | 9.628560e+01 | 8.288830e-02 | 4.327200e-02 | 1.789170e-01 | 59.22 | 56 | 1.058 | 3.588502e-01 | 50.0000 | 1 | -13.868000 | -12.868000 |  
GRB150530B   |  00084922008 | -1.807920e+00 | -2.079830e+00 | -8.841210e-01 | 9.999360e+03 | 1.000000e-02 | 0.000000e+00 | 8.298630e-03 | 6.880700e-03 | 2.968120e-02 | 42.88 | 56 | 0.7657 | 9.011538e-01 | 50.0000 | 1 | 1.000000 | 2.000000 |  
GRB150513A   |    640584    | -1.398900e+00 | -1.551840e+00 | -8.563500e-01 | 9.997110e+03 | 0.000000e+00 | 0.000000e+00 | 2.406010e-02 | 0.000000e+00 | 4.301590e-02 | 57.46 | 56 | 1.026 | 4.210435e-01 | 50.0000 | 1 | 115.412000 | 116.412000 |  
GRB150430A   |    639433    | -9.348640e-01 | -0.000000e+00 | 7.774620e-01 | 2.623860e+02 | 0.000000e+00 | 0.000000e+00 | 5.416920e-02 | 3.469900e-02 | 2.681190e-01 | 54.66 | 56 | 0.9761 | 5.255375e-01 | 50.0000 | 1 | 0.972000 | 1.972000 |  
GRB150428B   |    639278    | -1.203690e-01 | -1.424270e+00 | 1.710080e+00 | 8.124390e+01 | 5.740470e+01 | 3.249990e+03 | 4.755190e-02 | 0.000000e+00 | 3.287820e-01 | 52.99 | 56 | 0.9463 | 5.894798e-01 | 50.0000 | 1 | 1.360000 | 2.360000 |  
GRB150428A   |    639275    | -1.133620e+00 | -2.690600e+00 | 1.581900e-01 | 1.807930e+02 | 0.000000e+00 | 0.000000e+00 | 3.280260e-02 | 2.088950e-02 | 1.316500e-01 | 74.43 | 56 | 1.329 | 5.031863e-02 | 50.0000 | 1 | 17.388000 | 18.388000 |  
GRB150424A   |    638946    | -7.950950e-01 | -8.576890e-01 | -5.316330e-01 | 9.950560e+03 | 0.000000e+00 | 0.000000e+00 | 1.057030e-01 | 1.020610e-01 | 1.353970e-01 | 49.53 | 56 | 0.8844 | 7.167909e-01 | 50.0000 | 1 | N/A | N/A |  
GRB150423A   |    638808    | 1.086880e-02 | -9.787800e-01 | 1.807090e+00 | 1.349530e+02 | N/A | N/A | 1.782720e-02 | N/A | N/A | 57.33 | 56 | 1.024 | 4.256099e-01 | 50.0000 | 1 | -0.374000 | 0.626000 |  
GRB150413A   |    637899    | -4.092700e-02 | -1.285700e+00 | 1.708860e+00 | 7.216880e+01 | 5.469020e+01 | 2.150610e+02 | 6.584580e-02 | 0.000000e+00 | 4.377630e-01 | 80.61 | 56 | 1.440 | 1.728846e-02 | 50.0000 | 1 | 110.776000 | 111.776000 |  
GRB150407A   |    637342    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB150403A   |    637044    | -7.457140e-01 | -9.418200e-01 | -5.082570e-01 | 4.329870e+02 | 0.000000e+00 | 0.000000e+00 | 1.818460e-01 | 1.512750e-01 | 2.286980e-01 | 49.28 | 56 | 0.8799 | 7.254437e-01 | 50.0000 | 1 | 5.804000 | 6.804000 |  
GRB150402A   |  00636865000 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB150323C   |    636005    | 3.030300e-01 | -2.136210e+00 | 5.148840e+00 | 4.070570e+01 | N/A | N/A | 1.518080e-01 | N/A | N/A | 50.99 | 56 | 0.9106 | 6.643274e-01 | 50.0000 | 1 | 5.980000 | 6.980000 |  
GRB150323B   |    635929    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB150323A   |    635887    | -1.668550e+00 | -1.839950e+00 | -1.306520e+00 | 8.933200e+01 | 4.803040e+01 | 0.000000e+00 | 4.061760e-02 | 3.253720e-02 | 6.198480e-02 | 59.78 | 56 | 1.067 | 3.402656e-01 | 50.0000 | 1 | 131.588000 | 132.588000 |  
GRB150318A   |    635289    | -1.116100e+00 | -2.121150e+00 | 4.335280e+00 | 3.498370e+01 | N/A | N/A | 2.827610e-02 | N/A | N/A | 57.22 | 56 | 1.022 | 4.297113e-01 | 50.0000 | 1 | 66.616000 | 67.616000 |  
GRB150317A   |    635148    | -6.225880e-01 | -1.304740e+00 | 3.506680e-01 | 1.285850e+02 | 7.728460e+01 | 0.000000e+00 | 1.877370e-02 | 9.132150e-03 | 5.124140e-02 | 63.52 | 56 | 1.134 | 2.286201e-01 | 50.0000 | 1 | -0.148000 | 0.852000 |  
GRB150314A   |    634795    | -4.654170e-01 | -6.367320e-01 | -2.874010e-01 | 2.488720e+02 | 1.897290e+02 | 3.942130e+02 | 4.820850e-01 | 4.110210e-01 | 5.683400e-01 | 38.50 | 56 | 0.6874 | 9.642188e-01 | 50.0000 | 1 | 0.060000 | 1.060000 |  
GRB150309A   |    634200    | -7.635800e-01 | -1.010740e+00 | -5.017310e-01 | 2.330040e+02 | 1.513720e+02 | 8.868560e+02 | 1.106880e-01 | 8.624760e-02 | 1.439640e-01 | 46.73 | 56 | 0.8345 | 8.065745e-01 | 50.0000 | 1 | -177.488000 | -176.488000 |  
GRB150302A   |    633237    | -5.707560e-01 | -1.784300e+00 | 1.901290e+00 | 9.558690e+01 | 0.000000e+00 | 0.000000e+00 | 7.999860e-03 | 0.000000e+00 | 1.199080e-01 | 56.76 | 56 | 1.013 | 4.466706e-01 | 50.0000 | 1 | 2.612000 | 3.612000 |  
GRB150301B   |    633180    | -1.077180e+00 | -1.449630e+00 | -5.281640e-01 | 1.608910e+02 | 8.937190e+01 | 0.000000e+00 | 3.488130e-02 | 2.343950e-02 | 6.275040e-02 | 55.17 | 56 | 0.9851 | 5.063945e-01 | 50.0000 | 1 | 3.644000 | 4.644000 |  
GRB150301A   |    632995    | -1.512370e+00 | -2.790250e+00 | -4.145020e-01 | 2.404880e+02 | 0.000000e+00 | 0.000000e+00 | 8.427820e-03 | 6.247140e-03 | 3.160230e-02 | 46.93 | 56 | 0.8380 | 8.008677e-01 | 50.0000 | 1 | -0.220000 | 0.780000 |  
GRB150222A   |    632180    | -8.164760e-01 | -1.246130e+00 | -3.414320e-01 | 1.043170e+02 | 7.836820e+01 | 2.345930e+02 | 7.492290e-02 | 4.666640e-02 | 1.263790e-01 | 72.19 | 56 | 1.289 | 7.149436e-02 | 50.0000 | 1 | 5.368000 | 6.368000 |  
GRB150213B   |    631051    | 6.009460e-02 | -2.020700e+00 | -0.000000e+00 | 1.635760e+01 | 1.592310e+01 | 2.675960e+01 | 8.737510e-01 | 0.000000e+00 | 1.334560e+09 | 61.99 | 56 | 1.107 | 2.710517e-01 | 50.0000 | 1 | 18.000000 | 19.000000 |  
GRB150212A   |    630876    | -1.054860e+00 | -1.340210e+00 | -3.985120e-01 | 2.358040e+02 | 0.000000e+00 | 0.000000e+00 | 2.033070e-02 | 1.476120e-02 | 4.265080e-02 | 62.42 | 56 | 1.115 | 2.588426e-01 | 50.0000 | 1 | 0.828000 | 1.828000 |  
GRB150211A   |    630714    | -2.980840e-01 | -7.095380e-01 | 1.552860e-01 | 8.883470e+01 | 7.647860e+01 | 1.122760e+02 | 3.265590e-01 | 2.116290e-01 | 5.246030e-01 | 53.39 | 56 | 0.9533 | 5.744031e-01 | 50.0000 | 1 | 4.360000 | 5.360000 |  
GRB150206A   |    630019    | -8.344300e-01 | -1.094400e+00 | -5.543000e-01 | 2.342600e+02 | 1.466940e+02 | 9.999490e+02 | 1.161450e-01 | 9.012340e-02 | 1.534090e-01 | 53.13 | 56 | 0.9488 | 5.840350e-01 | 50.0000 | 1 | 98.816000 | 99.816000 |  
GRB150204A   |  00084702002 | -3.578340e-01 | -1.030460e+00 | 4.280430e-01 | 7.200740e+01 | 5.941850e+01 | 1.048920e+02 | 5.562080e-02 | 2.610620e-02 | 1.335420e-01 | 57.94 | 56 | 1.035 | 4.035353e-01 | 50.0000 | 1 | 6.000000 | 7.000000 |  
GRB150203A   |    629578    | -8.852490e-01 | -1.900170e+00 | 5.733070e-01 | 5.673880e+01 | 3.951660e+01 | 0.000000e+00 | 2.078680e-02 | 0.000000e+00 | 1.392760e-01 | 54.74 | 56 | 0.9776 | 5.224987e-01 | 50.0000 | 1 | 16.772000 | 17.772000 |  
GRB150202A   |    629547    | -1.129550e+00 | -1.417030e+00 | -8.162980e-01 | 9.999350e+03 | 0.000000e+00 | 0.000000e+00 | 8.523360e-03 | 7.218070e-03 | 1.882810e-02 | 36.31 | 56 | 0.6484 | 9.809078e-01 | 50.0000 | 1 | 17.324000 | 18.324000 |  
GRB150201A   |    629302    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB150120B   |    627170    | -1.682550e+00 | -2.200440e+00 | 2.982550e-01 | 5.709920e+01 | N/A | N/A | 1.155230e-02 | N/A | N/A | 60.21 | 56 | 1.075 | 3.260390e-01 | 50.0000 | 1 | 0.584000 | 1.584000 |  
GRB150120A   |    627137    | -1.797000e+00 | -1.986310e+00 | -1.147380e+00 | 9.999360e+03 | 1.000010e-02 | 0.000000e+00 | 1.283490e-02 | 6.569010e-03 | 2.885730e-02 | 42.24 | 56 | 0.7543 | 9.131550e-01 | 50.0000 | 1 | -0.064000 | 0.936000 |  
GRB150110B   |    624606    | -9.466220e-01 | -1.458840e+00 | -4.577900e-02 | 1.268550e+02 | 6.634270e+01 | 0.000000e+00 | 1.838790e-02 | 1.024940e-02 | 5.208890e-02 | 44.00 | 56 | 0.7857 | 8.774929e-01 | 50.0000 | 1 | 1.736000 | 2.736000 |  
GRB150103A   |    623368    | 1.103170e+00 | -1.607730e+00 | -0.000000e+00 | 3.501240e+01 | N/A | N/A | 3.513110e-01 | N/A | N/A | 46.49 | 56 | 0.8302 | 8.135004e-01 | 50.0000 | 1 | 26.324000 | 27.324000 |  
GRB150101B   |  00091964035 | -5.881430e-01 | -6.619780e+00 | 2.773680e+00 | 9.655380e+01 | 0.000000e+00 | 0.000000e+00 | 1.478440e-02 | 0.000000e+00 | 4.141660e-01 | 40.06 | 56 | 0.7154 | 9.467490e-01 | 50.0000 | 1 | -0.490000 | 0.510000 |  
GRB150101A   |    623158    | 2.987540e+00 | -5.554400e-01 | -0.000000e+00 | 6.338860e+01 | 4.200260e+01 | 2.363330e+02 | 2.125390e-01 | 0.000000e+00 | 6.681410e+03 | 50.82 | 56 | 0.9075 | 6.707026e-01 | 50.0000 | 1 | -0.464000 | 0.536000 |  
GRB141229A   |  00085478004 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB141225A   |    622476    | -8.480920e-01 | -1.330450e+00 | -1.743070e-01 | 9.999320e+03 | 0.000000e+00 | 0.000000e+00 | 1.183660e-02 | 8.158410e-03 | 3.636940e-02 | 51.00 | 56 | 0.9106 | 6.643142e-01 | 50.0000 | 1 | 11.752000 | 12.752000 |  
GRB141221A   |    622006    | -1.079960e+00 | -1.253750e+00 | -5.521330e-01 | 9.798720e+02 | 0.000000e+00 | 0.000000e+00 | 2.777360e-02 | 2.455570e-02 | 4.877370e-02 | 63.13 | 56 | 1.127 | 2.391120e-01 | 50.0000 | 1 | -0.096000 | 0.904000 |  
GRB141220A   |    621915    | -2.490770e-01 | -7.853800e-01 | 3.623980e-01 | 1.286420e+02 | 9.647850e+01 | 2.626000e+02 | 1.746620e-01 | 1.025540e-01 | 3.161320e-01 | 74.56 | 56 | 1.331 | 4.927705e-02 | 50.0000 | 1 | -0.128000 | 0.872000 |  
GRB141212B   |    621234    | -3.811300e-01 | -8.245350e-01 | 1.146920e-01 | 1.208620e+02 | 9.219020e+01 | 2.179750e+02 | 7.452410e-02 | 4.669120e-02 | 1.249510e-01 | 51.67 | 56 | 0.9227 | 6.392181e-01 | 50.0000 | 1 | 4.100000 | 5.100000 |  
GRB141212A   |    621229    | -4.810470e-01 | -1.596450e+00 | 1.028310e+00 | 7.275700e+01 | 5.195650e+01 | 0.000000e+00 | 3.304040e-02 | 0.000000e+00 | 1.863510e-01 | 54.91 | 56 | 0.9805 | 5.163141e-01 | 50.0000 | 1 | -0.324000 | 0.676000 |  
GRB141205A   |    620534    | 5.817140e-01 | -9.479310e-01 | 8.181040e+00 | 1.020850e+02 | 6.583160e+01 | 0.000000e+00 | 3.935040e-02 | 0.000000e+00 | 1.075000e+02 | 73.36 | 56 | 1.310 | 5.964644e-02 | 50.0000 | 1 | -0.124000 | 0.876000 |  
GRB141130A   |    620090    | 1.859280e-01 | -9.116020e-01 | 1.607650e+00 | 6.853430e+01 | 5.450700e+01 | 1.136540e+02 | 6.262110e-02 | 0.000000e+00 | 3.061520e-01 | 53.67 | 56 | 0.9583 | 5.636667e-01 | 50.0000 | 1 | -4.688000 | -3.688000 |  
GRB141121A   |    619182    | -1.040440e+00 | -2.196900e+00 | 2.564720e+00 | 5.657700e+01 | N/A | N/A | 1.685360e-02 | N/A | N/A | 62.39 | 56 | 1.114 | 2.594370e-01 | 50.0000 | 1 | 230.144000 | 231.144000 |  
GRB141109B   |    618032    | -1.547110e+00 | -2.500960e+00 | 9.903170e-02 | 9.999350e+03 | N/A | N/A | 3.204860e-03 | N/A | N/A | 52.87 | 56 | 0.9440 | 5.942405e-01 | 50.0000 | 1 | 28.472000 | 29.472000 |  
GRB141109A   |    618024    | -1.133930e+00 | -1.313220e+00 | -8.489190e-01 | 9.695370e+02 | 0.000000e+00 | 0.000000e+00 | 2.170990e-02 | 1.919350e-02 | 2.857170e-02 | 51.50 | 56 | 0.9196 | 6.456985e-01 | 50.0000 | 1 | 117.392000 | 118.392000 |  
GRB141102A   |    617316    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB141031B   |    617149    | -1.292190e+00 | -2.044120e+00 | -2.640180e-01 | 9.999340e+03 | 0.000000e+00 | 0.000000e+00 | 2.964600e-03 | N/A | N/A | 56.55 | 56 | 1.010 | 4.542021e-01 | 50.0000 | 1 | 4.404000 | 5.404000 |  
GRB141031A   |    617110    | -1.420830e+00 | -0.000000e+00 | -1.320450e+00 | 9.999360e+03 | N/A | N/A | 4.990950e-03 | N/A | N/A | 57.89 | 56 | 1.034 | 4.052369e-01 | 50.0000 | 1 | 5.076000 | 6.076000 |  
GRB141026A   |    616502    | -1.307360e+00 | -3.546180e+00 | -1.075780e-01 | 9.999360e+03 | N/A | N/A | 3.035790e-03 | N/A | N/A | 50.91 | 56 | 0.9091 | 6.674704e-01 | 50.0000 | 1 | 65.640000 | 66.640000 |  
GRB141022A   |    616061    | -1.126500e+00 | -1.672940e+00 | -1.476310e-01 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 8.010190e-03 | 5.665070e-03 | 2.667960e-02 | 57.90 | 56 | 1.034 | 4.051678e-01 | 50.0000 | 1 | 6.196000 | 7.196000 |  
GRB141020A   |    615873    | -1.470500e+00 | -2.756810e+00 | 1.455890e-01 | 1.893850e+02 | 0.000000e+00 | 0.000000e+00 | 6.439760e-03 | 4.074940e-03 | 5.415570e-02 | 67.36 | 56 | 1.203 | 1.422457e-01 | 50.0000 | 1 | -0.200000 | 0.800000 |  
GRB141017A   |    615672    | -4.828490e-01 | -7.554950e-01 | -1.930990e-01 | 1.172540e+02 | 9.847840e+01 | 1.544840e+02 | 1.140990e-01 | 8.625810e-02 | 1.534430e-01 | 47.16 | 56 | 0.8421 | 7.939335e-01 | 50.0000 | 1 | 46.604000 | 47.604000 |  
GRB141015A   |    615399    | 2.642960e+00 | -3.569430e-01 | -0.000000e+00 | 3.184340e+01 | 2.649730e+01 | 3.882310e+01 | 4.957470e+00 | 0.000000e+00 | 8.335740e+05 | 47.43 | 56 | 0.8470 | 7.855622e-01 | 50.0000 | 1 | 1.000000 | 2.000000 |  
