#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180626A   |    844615    | 1.560800e+00 | 1.257470e+00 | 1.865070e+00 | 1.171670e+00 | 9.956120e-01 | 1.340440e+00 | 6.109930e-01 | 4.908750e-01 | 7.136410e-01 | 2.197080e-01 | 1.797460e-01 | 2.549290e-01 | 5.264770e-01 | 4.390930e-01 | 6.049420e-01 | 3.563410e+00 | 2.961820e+00 | 4.049080e+00 | 3.870050e+00 | 3.116200e+00 | 4.318750e+00 | 1 | -3.692000 | -2.692000 |  
GRB180624A   |    844192    | 5.754590e-01 | 4.396690e-01 | 7.192380e-01 | 4.633440e-01 | 3.887890e-01 | 5.461450e-01 | 2.531550e-01 | 1.868330e-01 | 3.218440e-01 | 9.184480e-02 | 5.843940e-02 | 1.326770e-01 | 2.076060e-01 | N/A | N/A | 1.383320e+00 | 1.155610e+00 | 1.607620e+00 | 1.499990e+00 | 1.193810e+00 | 1.733540e+00 | 1 | 6.016000 | 7.016000 |  
GRB180623A   |    844015    | 1.255060e+00 | 1.083030e+00 | 1.376520e+00 | 8.866430e-01 | 7.675090e-01 | 9.710590e-01 | 4.321890e-01 | 3.638760e-01 | 4.788760e-01 | 1.521740e-01 | 1.221050e-01 | 1.819400e-01 | 3.595170e-01 | 3.078160e-01 | 4.369430e-01 | 2.726110e+00 | 2.408620e+00 | 2.963770e+00 | 2.929550e+00 | 2.501000e+00 | 3.207370e+00 | 1 | 59.108000 | 60.108000 |  
GRB180620B   |    843211    | 8.152910e-01 | 6.829810e-01 | 9.525120e-01 | 1.146080e+00 | 1.056490e+00 | 1.236600e+00 | 1.093480e+00 | 1.005830e+00 | 1.182520e+00 | 5.483140e-01 | 4.700800e-01 | 6.247290e-01 | 1.294100e+00 | 8.952700e-01 | 1.722010e+00 | 3.603170e+00 | 3.369110e+00 | 3.837460e+00 | 4.348950e+00 | 3.878940e+00 | 4.947300e+00 | 1 | -0.332000 | 0.668000 |  
GRB180620A   |    843122    | 2.598270e+00 | 2.312880e+00 | 2.814810e+00 | 2.595210e+00 | 2.515840e+00 | 2.754200e+00 | 1.768020e+00 | 1.649040e+00 | 1.895360e+00 | 7.304640e-01 | 6.177420e-01 | 8.201450e-01 | 1.688270e+00 | 1.163340e+00 | 2.018800e+00 | 7.691970e+00 | 7.268000e+00 | 8.116300e+00 | 8.649780e+00 | 7.947950e+00 | 9.258300e+00 | 1 | 4.468000 | 5.468000 |  
GRB180618A   |    842475    | 4.678220e-01 | 3.519870e-01 | 5.447660e-01 | 6.449220e-01 | 5.680920e-01 | 7.290730e-01 | 6.560380e-01 | 5.849670e-01 | 7.409180e-01 | 3.862850e-01 | 3.017780e-01 | 4.396610e-01 | 1.191970e+00 | 6.136380e-01 | 1.371840e+00 | 2.152580e+00 | 1.932600e+00 | 2.368620e+00 | 2.965280e+00 | 2.334300e+00 | 3.277900e+00 | 1 | -0.076000 | 0.924000 |  
GRB180614A   |    841548    | 1.342650e-01 | 0.000000e+00 | 2.179160e-01 | 2.357280e-01 | 1.815190e-01 | 2.917540e-01 | 2.034780e-01 | 1.545030e-01 | 2.554900e-01 | 5.837960e-02 | 2.039990e-02 | 1.069950e-01 | 8.052300e-02 | 0.000000e+00 | 1.831300e-01 | 6.318470e-01 | 4.913740e-01 | 7.686100e-01 | 6.540330e-01 | 4.959190e-01 | 8.887800e-01 | 1 | 1.564000 | 2.564000 |  
GRB180613A   |    840853    | 1.001040e-01 | 3.284740e-02 | 1.731510e-01 | 1.553870e-01 | 8.417740e-02 | 2.305710e-01 | 4.205470e-02 | 0.000000e+00 | 1.047290e-01 | 7.978060e-04 | 0.000000e+00 | 3.907580e-02 | 8.073470e-04 | 0.000000e+00 | 7.893390e-02 | 2.983500e-01 | 1.775720e-01 | 4.227700e-01 | 2.984100e-01 | 1.775730e-01 | 4.232370e-01 | 1 | 42.988000 | 43.988000 |  
GRB180602A   |    835200    | 2.453010e-01 | 1.481480e-01 | 3.471860e-01 | 3.201150e-01 | 2.488080e-01 | 3.968980e-01 | 2.691540e-01 | 2.090750e-01 | 3.321960e-01 | 1.152270e-01 | 0.000000e+00 | 1.450650e-01 | 2.346680e-01 | 0.000000e+00 | 4.137840e-01 | 9.497960e-01 | 7.712110e-01 | 1.127890e+00 | 1.069180e+00 | 8.103020e-01 | 1.348420e+00 | 1 | -19.572000 | -18.572000 |  
GRB180514A   |    832368    | 2.846770e-01 | N/A | N/A | 2.473440e-01 | 1.970350e-01 | 3.128400e-01 | 1.464960e-01 | 1.006040e-01 | 1.949880e-01 | 5.577650e-02 | 2.950630e-02 | 7.743420e-02 | 1.277610e-01 | 0.000000e+00 | 1.847700e-01 | 7.342980e-01 | 5.837090e-01 | 8.833160e-01 | 8.062360e-01 | 6.021080e-01 | 9.742230e-01 | 1 | 0.292000 | 1.292000 |  
